RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
76,15684921,Onuchukwu,735,France,Female,21,1,178718.19,2,1,0,22388,0,0,1,PLATINUM,527
77,15720676,Bukowski,664,France,Male,55,8,0,2,1,1,139161.64,0,0,5,SILVER,220
78,15731829,Simmons,678,France,Female,32,9,0,1,1,1,148210.64,0,0,4,GOLD,983
79,15732672,Stewart,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582
80,15692406,Gow,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281
81,15764405,Williams,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798
82,15757537,Francis,777,France,Female,32,2,0,1,1,0,136458.19,1,1,5,SILVER,917
83,15793307,Calabresi,543,France,Female,36,3,0,2,0,0,26019.59,0,0,2,DIAMOND,255
84,15660679,Chimaobim,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511
85,15666856,Chikwendu,493,France,Female,46,4,0,2,1,0,1907.66,0,0,1,SILVER,498
86,15687372,Padovesi,652,Spain,Female,75,10,0,2,1,1,114675.75,0,0,5,DIAMOND,651
87,15667289,Henderson,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852
88,15624641,Kharlamova,729,France,Male,30,9,0,2,1,0,151869.35,0,0,1,DIAMOND,807
89,15734610,Onio,646,France,Female,46,4,0,3,1,0,93251.42,1,1,3,PLATINUM,470
90,15631882,Yeh,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
91,15642709,Feng,647,Spain,Female,44,5,0,3,1,1,174205.22,1,1,3,DIAMOND,752
92,15811026,Norman,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559
93,15596303,White,524,France,Female,36,10,0,2,1,0,109614.57,0,0,2,GOLD,375
94,15787255,Manfrin,769,France,Male,29,8,0,2,1,1,172290.61,0,0,2,DIAMOND,411
95,15617166,Ritchie,730,Spain,Male,42,4,0,2,0,1,85982.47,0,0,4,DIAMOND,722
96,15742442,Udegbulam,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231
97,15758692,Kao,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488
98,15568238,Diaz,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965
99,15730353,Olisaemeka,710,Spain,Male,22,8,0,2,0,0,99645.04,0,0,4,SILVER,289
100,15731555,Ross-Watt,413,France,Male,34,9,0,2,0,0,6534.18,0,0,1,PLATINUM,449
101,15582404,Miller,665,France,Female,40,6,0,1,1,1,161848.03,0,0,2,SILVER,651
102,15721462,Shubin,623,France,Female,44,6,0,2,0,0,167162.43,0,0,2,DIAMOND,520
103,15632899,Nwankwo,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234
104,15808526,Cartwright,528,Spain,Male,36,7,0,2,1,0,60536.56,0,0,5,SILVER,458
105,15694349,Ngozichukwuka,670,Spain,Female,65,1,0,1,1,1,177655.68,1,1,2,GOLD,915
106,15718465,Sadler,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299
107,15682995,Azuka,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838
108,15584776,Shen,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786
109,15777772,Whittaker,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509
110,15576156,Abazu,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328
111,15646756,Murphy,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347
112,15742886,Ford,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534
113,15586135,Gratwick,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709
114,15616152,Pai,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749
115,15721460,Lorenzo,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541
116,15727317,Brady,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736
117,15649536,Wong,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529
118,15754929,Douglas,506,France,Female,41,1,0,2,1,0,31766.3,0,0,4,GOLD,594
119,15572051,Kennedy,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,1,1,SILVER,462
120,15668142,Chang,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429
121,15701176,Brown,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370
122,15708422,Hsiung,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510
123,15655632,MacDonald,656,France,Female,39,6,0,2,1,0,141069.88,0,0,4,DIAMOND,638
124,15744606,Davidson,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462
125,15612140,Milano,625,France,Female,28,3,0,1,0,0,183646.41,0,0,4,GOLD,718
126,15656086,Bovee,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437
127,15655298,Lewis,549,France,Female,52,1,0,1,0,1,8636.05,1,1,4,DIAMOND,485
128,15644796,Dyer,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410
129,15726250,Hsia,828,France,Female,41,7,0,2,1,0,171378.77,0,0,2,PLATINUM,666
130,15764432,Hicks,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730
131,15631721,Millar,758,France,Female,34,3,0,2,1,1,124226.16,0,0,2,PLATINUM,375
132,15707479,Fan,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411
133,15579826,Young,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
134,15668104,Kerr,686,France,Male,25,1,0,2,0,1,16459.37,0,0,1,DIAMOND,578
135,15641604,Frolova,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
136,15587240,Vasilyev,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831
137,15680767,Sabbatini,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497
138,15601594,Ifeanacho,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374
139,15589969,Capon,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814
140,15703728,Chieloka,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247
141,15617790,Hanson,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965
142,15662500,Ts'ao,663,France,Male,34,7,0,2,1,1,180427.24,0,0,3,SILVER,912
143,15778526,Bradshaw,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462
144,15670584,Nkemakolam,793,Spain,Male,52,2,0,1,1,0,159123.82,1,1,5,GOLD,883
145,15748069,Clunie,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,2,SILVER,402
146,15680597,Cover,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764
147,15628992,Esposito,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608
148,15719624,Hodgson,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652
149,15812767,Harvey,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520
150,15689201,Dobie,416,France,Male,32,0,0,2,0,1,878.87,0,0,5,GOLD,884
151,15614716,Okwudilichukwu,754,Spain,Female,32,7,0,2,1,0,89520.75,0,0,1,SILVER,800
152,15683618,Dyer,535,France,Female,48,9,0,1,1,0,149892.79,1,1,4,GOLD,697
153,15799631,Chase,716,Spain,Male,42,8,0,2,1,0,180800.42,0,0,2,SILVER,427
154,15692259,Baresi,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0,1,DIAMOND,620
155,15590966,Lo,614,France,Female,43,6,0,2,1,1,109041.53,0,0,1,PLATINUM,318
156,15656426,Tyler,706,Spain,Male,57,7,0,1,1,0,17941.16,1,1,1,GOLD,701
157,15675256,Ts'ui,758,France,Female,33,7,0,2,0,0,82996.47,0,0,4,PLATINUM,953
158,15751185,Aparicio,586,Spain,Female,28,2,0,2,1,1,92067.35,0,0,5,PLATINUM,635
159,15789582,Macleod,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250
160,15651103,Sal,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,3,SILVER,662
161,15672299,Yeh,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666
162,15772250,Udegbunam,684,France,Male,30,2,0,2,1,0,83473.82,0,0,4,DIAMOND,699
163,15763922,Alexandrov,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0,3,PLATINUM,855
164,15633870,Ozioma,721,Spain,Female,36,2,0,2,1,1,106977.8,0,0,5,SILVER,534
165,15624323,Atkins,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,1,1,PLATINUM,388
166,15688612,Campos,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612
167,15694644,Wood,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,1,2,PLATINUM,801
168,15587174,Kerr,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0,1,PLATINUM,561
169,15579559,Chienezie,667,Spain,Female,39,2,0,2,1,0,40721.24,1,1,5,PLATINUM,308
170,15775430,Tsou,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,5,SILVER,643
171,15623695,McKinnon,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,1,GOLD,249
172,15760849,Nwachukwu,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,1,2,SILVER,818
173,15813095,Nwebube,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,1,1,GOLD,775
174,15705281,Burt,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872
175,15812594,Ross,512,France,Male,40,5,0,2,1,1,146457.83,0,0,3,DIAMOND,435
176,15626322,Lees,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0,2,SILVER,415
177,15723105,Feetham,510,France,Female,30,0,0,2,1,1,130553.47,0,0,2,DIAMOND,430
178,15588449,Chuang,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0,5,PLATINUM,929
179,15794849,Aitken,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0,5,SILVER,681
180,15620000,Chambers,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,1,4,GOLD,810
181,15799720,Coburn,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0,5,GOLD,739
182,15711287,Ahmed,510,France,Male,65,2,0,2,1,1,48071.61,0,0,1,SILVER,280
183,15613102,Ogochukwu,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0,2,DIAMOND,250
184,15621440,Soto,636,France,Male,42,2,0,2,1,1,55470.78,0,0,4,PLATINUM,991
185,15677146,Obiajulu,804,France,Female,50,4,0,1,1,1,8546.87,1,1,2,GOLD,482
186,15801169,Yegorova,514,France,Male,32,8,0,2,1,0,95857.18,0,0,4,PLATINUM,423
187,15722425,Lucchese,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0,5,GOLD,260
188,15682421,Talbot,525,Spain,Female,37,0,0,1,0,1,131521.72,0,0,5,SILVER,642
189,15691910,Lu,616,Spain,Male,30,5,0,2,0,1,196108.51,0,0,4,PLATINUM,701
190,15721779,Arnold,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0,4,GOLD,570
191,15579548,Nicholson,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,1,4,GOLD,790
192,15681075,Chukwualuka,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0,5,PLATINUM,727
193,15607884,Wallace,479,France,Male,40,1,0,2,0,0,114996.43,0,0,3,SILVER,909
194,15767757,Pisano,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0,2,GOLD,799
195,15791550,Kelly,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0,1,DIAMOND,520
196,15658589,Brady,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0,3,SILVER,861
197,15670822,Palmer,616,Spain,Female,32,6,0,2,1,1,43001.46,0,0,5,GOLD,512
198,15629744,Tan,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0,1,PLATINUM,478
199,15660768,L?,501,France,Male,57,10,0,2,1,1,47847.19,0,0,5,PLATINUM,374
200,15726310,Mordvinova,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0,4,PLATINUM,280
201,15641298,Corones,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0,2,DIAMOND,615
202,15625675,Clements,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0,3,GOLD,435
203,15713354,Morrice,516,Spain,Male,50,5,0,1,0,1,146145.93,1,1,5,GOLD,509
204,15633866,Hsiung,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,1,4,DIAMOND,321
205,15704231,Barrett,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0,1,PLATINUM,726
206,15735400,Kanayochukwu,550,France,Male,37,3,0,1,1,1,179670.31,0,0,3,GOLD,516
207,15632826,Tardent,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,1,3,PLATINUM,639
208,15751022,Bowhay,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0,2,SILVER,512
209,15664737,Lei,643,France,Male,45,5,0,1,1,0,142513.5,1,1,3,GOLD,730
210,15681126,Baker,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0,3,DIAMOND,244
211,15738954,Pisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0,3,PLATINUM,292
212,15662263,Castillo,603,France,Male,31,8,0,2,1,1,169915.02,0,0,3,GOLD,245
213,15621611,Gibson,620,France,Female,41,9,0,2,0,0,88852.47,0,0,3,DIAMOND,848
214,15783752,Lindsay,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0,3,SILVER,974
215,15709474,Macnamara,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0,4,DIAMOND,958
216,15701280,Romano,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629
217,15671104,Aksakova,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0,3,DIAMOND,310
218,15796434,Farnsworth,730,Spain,Female,33,9,0,2,0,0,176576.62,0,0,1,SILVER,621
219,15781505,Giordano,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,1,4,DIAMOND,924
220,15625819,Arnold,592,France,Male,54,8,0,1,1,1,28737.71,1,1,2,PLATINUM,359
221,15753174,Thompson,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811
222,15654067,Koch,514,Spain,Male,30,7,0,1,0,1,125010.24,0,0,4,DIAMOND,583
223,15724719,Jones,567,France,Male,42,2,0,2,1,1,167984.61,0,0,5,SILVER,959
224,15624695,Otitodilinna,850,France,Male,33,10,0,1,1,0,4861.72,1,1,1,SILVER,359
225,15718216,Fleetwood-Smith,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,1,3,PLATINUM,901
226,15586300,Chinonyelum,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0,5,GOLD,729
227,15783349,Montague,694,France,Female,30,9,0,2,1,1,26960.31,0,0,5,DIAMOND,829
228,15725767,Milani,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,1,4,SILVER,790
229,15791925,Palermo,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,1,2,DIAMOND,756
230,15793585,Anderson,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0,4,GOLD,873
231,15576641,Crawford,673,France,Male,72,1,0,2,0,1,111981.19,0,0,3,SILVER,865
232,15749519,Lin,610,France,Male,40,0,0,2,1,0,62232.6,0,0,5,GOLD,690
233,15684960,Yewen,512,France,Female,37,1,0,2,0,1,156105.03,0,0,4,PLATINUM,722
234,15591286,Simmons,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0,4,DIAMOND,535
235,15668323,Mbadiwe,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0,5,SILVER,580
236,15608528,Munro,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,1,3,GOLD,709
237,15645184,Graham,712,France,Female,29,2,0,1,1,1,144375,0,0,4,GOLD,930
238,15702566,Lombardo,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,1,4,DIAMOND,264
239,15660840,Kalinin,668,France,Female,46,2,0,3,1,0,89048.46,1,1,1,DIAMOND,943
240,15750811,Woodward,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0,2,PLATINUM,388
241,15733842,Pirozzi,662,Spain,Male,38,4,0,2,1,0,136259.65,0,0,5,GOLD,248
242,15581526,Iweobiegbulam,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0,2,GOLD,763
243,15662751,Piazza,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0,1,DIAMOND,619
244,15684319,Baranova,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,1,2,SILVER,815
245,15702190,Fan,523,Spain,Male,34,7,0,2,1,0,62030.06,0,0,4,DIAMOND,566
246,15588517,Sun,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,1,5,GOLD,774
247,15801863,Marino,772,Germany,Male,26,7,152400.51,2,1,0,79414,0,0,1,PLATINUM,695
248,15584271,Donaldson,545,France,Female,26,1,0,2,1,1,199638.56,0,0,5,PLATINUM,902
249,15700366,Burton,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532
250,15804038,Quinn,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,1,2,DIAMOND,718
251,15720820,Sabbatini,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0,5,PLATINUM,895
252,15743759,Brooks,587,Spain,Female,34,1,0,2,1,1,97932.68,0,0,4,DIAMOND,749
253,15749947,Black,681,France,Female,79,0,0,2,0,1,170968.99,0,0,5,DIAMOND,333
254,15670496,Schwartz,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0,4,DIAMOND,866
255,15746664,Ts'ui,696,Spain,Male,28,8,0,1,0,0,176713.47,0,0,3,SILVER,671
256,15745533,Sargent,766,Spain,Male,41,0,0,2,0,1,34283.23,0,0,4,GOLD,670
257,15761497,Udinesi,727,France,Male,34,10,0,2,1,1,198637.34,0,0,4,GOLD,768
258,15628600,Lee,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,0,3,SILVER,565
259,15627002,Taylor,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0,1,SILVER,483
260,15614635,Kepley,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0,2,GOLD,926
261,15731281,Ozuluonye,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0,1,DIAMOND,932
262,15814022,Lassetter,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,0,4,DIAMOND,901
263,15659194,Mishina,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,0,3,GOLD,299
264,15745030,Trevisano,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
